Index	higherClassification
Angiosperms	.*?\|Bellis\|.*?
Angiosperms	.*?\|Berberidaceae\|.*?
Angiosperms	.*?\|Besleria\|.*?
Angiosperms	.*?\|Betonica\|.*?
Angiosperms	.*?\|Bignoniaceae\|.*?
Angiosperms	.*?\|Biscutella\|.*?
Angiosperms	.*?\|Biserrula\|.*?
Angiosperms	.*?\|Bixaceae\|.*?
Angiosperms	.*?\|Blaeria\|.*?
Angiosperms	.*?\|Blitum\|.*?
Angiosperms	.*?\|Bobartia\|.*?
Angiosperms	.*?\|Bocconia\|.*?
Angiosperms	.*?\|Bombacophyllum\|.*?
Angiosperms	.*?\|Bonnetiaceae\|.*?
Angiosperms	.*?\|Bontia\|.*?
Angiosperms	.*?\|Boraginaceae\|.*?
Angiosperms	.*?\|Boraginales\|.*?
Angiosperms	.*?\|Borago\|.*?
Angiosperms	.*?\|Brabejum\|.*?
Angiosperms	.*?\|Brassica\|.*?
Angiosperms	.*?\|Brassicaceae\|.*?
Angiosperms	.*?\|Brassicales\|.*?
Angiosperms	.*?\|Briza\|.*?
Angiosperms	.*?\|Bromeliaceae\|.*?
Angiosperms	.*?\|Bromelites\|.*?
Angiosperms	.*?\|Browallia\|.*?
Angiosperms	.*?\|Brunelliaceae\|.*?
Angiosperms	.*?\|Brunsfelsia\|.*?
Angiosperms	.*?\|Bubon\|.*?
Angiosperms	.*?\|Bubulcia\|.*?
Angiosperms	.*?\|Buddleja\|.*?
Angiosperms	.*?\|Buddlejaceae\|.*?
Angiosperms	.*?\|Bufonia\|.*?
Angiosperms	.*?\|Bulbocodium\|.*?
Angiosperms	.*?\|Bunias\|.*?
Angiosperms	.*?\|Bunium\|.*?
Angiosperms	.*?\|Buphthalmum\|.*?
Angiosperms	.*?\|Burmanniaceae\|.*?
Angiosperms	.*?\|Burseraceae\|.*?
Angiosperms	.*?\|Butomites\|.*?
Angiosperms	.*?\|Butomus\|.*?
Angiosperms	.*?\|Buxales\|.*?
Angiosperms	.*?\|Cabombaceae\|.*?
Angiosperms	.*?\|Cachrys\|.*?
Angiosperms	.*?\|Cactaceae\|.*?
Angiosperms	.*?\|Calceolariaceae\|.*?
Angiosperms	.*?\|Calophyllaceae\|.*?
Angiosperms	.*?\|Caltha\|.*?
