Index	higherClassification
Actinopterygii	Animalia|Chordata|Cypriniformes|*
Actinopterygii	Animalia|Chordata|Cyprinodontiformes|*
Tetrapoda	Animalia|Chordata|Deinocheirus|*
Tetrapoda	Animalia|Chordata|Dinosauria|*
Vertebrata	Animalia|Chordata|Dipneusti|*
Chondrichthyes	Animalia|Chordata|Elasmobranchii|*
Actinopterygii	Animalia|Chordata|Elopiformes|*
Actinopterygii	Animalia|Chordata|Esociformes|*
Actinopterygii	Animalia|Chordata|Gadiformes|*
Actinopterygii	Animalia|Chordata|Gasterosteiformes|*
Vertebrata	Animalia|Chordata|Geikiidae|*
Actinopterygii	Animalia|Chordata|Gobiesociformes|*
Animals	Animalia|Chordata|Gondolellidae|*
Actinopterygii	Animalia|Chordata|Gonorynchiformes|*
Actinopterygii	Animalia|Chordata|Gymnotiformes|*
Tetrapoda	Animalia|Chordata|Hadrosauridae|*
Chondrichthyes	Animalia|Chordata|Holocephali|*
Actinopterygii	Animalia|Chordata|Holostei|*
Tetrapoda	Animalia|Chordata|Hypsilophodontidae|*
Tetrapoda	Animalia|Chordata|Iguanodontidae|*
Actinopterygii	Animalia|Chordata|Lampriformes|*
Actinopterygii	Animalia|Chordata|Lepisosteiformes|*
Animals	Animalia|Chordata|Leptocardii|*
Actinopterygii	Animalia|Chordata|Leptocephalus|*
Actinopterygii	Animalia|Chordata|Liognathus|*
Actinopterygii	Animalia|Chordata|Lophiiformes|*
Vertebrata	Animalia|Chordata|Lystrosauridae|*
Tetrapoda	Animalia|Chordata|Mammalia|*
Actinopterygii	Animalia|Chordata|Microphallus|*
Actinopterygii	Animalia|Chordata|Mugiliformes|*
Actinopterygii	Animalia|Chordata|Myctophiformes|*
Vertebrata	Animalia|Chordata|Myxine|*
Vertebrata	Animalia|Chordata|Myxini|*
Actinopterygii	Animalia|Chordata|Notacanthiformes|*
Actinopterygii	Animalia|Chordata|Ophidiiformes|*
Actinopterygii	Animalia|Chordata|Osmeriformes|*
Actinopterygii	Animalia|Chordata|Osteoglossiformes|*
Tetrapoda	Animalia|Chordata|Oudenodontidae|*
Actinopterygii	Animalia|Chordata|Oxudercidae|*
Actinopterygii	Animalia|Chordata|Paralepis|*
Actinopterygii	Animalia|Chordata|Perciformes|*
Actinopterygii	Animalia|Chordata|Percopsiformes|*
Vertebrata	Animalia|Chordata|Petromyzonti|*
Actinopterygii	Animalia|Chordata|Phalacrus|*
Actinopterygii	Animalia|Chordata|Physocephalus|*
Vertebrata	Animalia|Chordata|Placodermi|*
Actinopterygii	Animalia|Chordata|Pleuronectiformes|*
Actinopterygii	Animalia|Chordata|Poecilidae|*
Actinopterygii	Animalia|Chordata|Polymixiiformes|*
Actinopterygii	Animalia|Chordata|Polypteriformes|*
Vertebrata	Animalia|Chordata|Pteraspidomorphi|*
Tetrapoda	Animalia|Chordata|Reptilia|*
Actinopterygii	Animalia|Chordata|Salmoniformes|*
Vertebrata	Animalia|Chordata|Sarcopterygii|
Vertebrata	Animalia|Chordata|Sarcopterygii|Ceratodontiformes|*
Vertebrata	Animalia|Chordata|Sarcopterygii|Coelacanthiformes|*
Actinopterygii	Animalia|Chordata|Sarcopterygii|Polypteriformes|*
Actinopterygii	Animalia|Chordata|Scorpaeniformes|*
Tetrapoda	Animalia|Chordata|Serpentes|*
Actinopterygii	Animalia|Chordata|Siluriformes|*
Tetrapoda	Animalia|Chordata|Sphenodontia|*
Tetrapoda	Animalia|Chordata|Squamata|*
Vertebrata	Animalia|Chordata|Stahleckeriidae|*
Actinopterygii	Animalia|Chordata|Stephanoberyciformes|*
Actinopterygii	Animalia|Chordata|Stomiiformes|*
Animals	Animalia|Chordata|Strachanognathidae|*
Animals	Animalia|Chordata|Synascidia|*
Actinopterygii	Animalia|Chordata|Synbranchiformes|*
Actinopterygii	Animalia|Chordata|Syngnathiformes|*
Actinopterygii	Animalia|Chordata|Syngnathus|*
Actinopterygii	Animalia|Chordata|Teleostei|*
Tetrapoda	Animalia|Chordata|Testudines|*
Actinopterygii	Animalia|Chordata|Tetraodontiformes|*
Tunicata	Animalia|Chordata|Thaliacea|*
Actinopterygii	Animalia|Chordata|Zeiformes|*
Coleoptera	Animalia|Cicindella|*
Cnidaria	Animalia|Cnidaria|*
Tetrapoda	Animalia|Cobra|*
Flatworms	Animalia|Coenurus|*
Flatworms	Animalia|Collyriclum|*
Hymenoptera	Animalia|Conidarnes|*
Coleoptera	Animalia|Cratomerus|*
Protists	Animalia|Cryptosporidium|*
Animals	Animalia|Ctenophora|*
Animals	Animalia|Cycliophora|*
Flatworms	Animalia|Cysticercus|*
Animals	Animalia|Derris|*
Animals	Animalia|Dicyemida|*
Hemiptera	Animalia|Doralis|*
Echinodermata	Animalia|Echinodermata|*
Diptera	Animalia|Empis|*
Ciliophora	Animalia|Entodinium|*
Animals	Animalia|Entoprocta|*
Arachnida	Animalia|Epeira|*
Ciliophora	Animalia|Eufolliculina|*
Nematoda	Animalia|Eustrongylus|*
Hymenoptera	Animalia|Galesus|*
Animals	Animalia|Gastrotricha|*
Tetrapoda	Animalia|Geocichla|*
Animals	Animalia|Gnathifera|*
Animals	Animalia|Gnathostomulida|*
Hymenoptera	Animalia|Grahamstoneia|*
Animals	Animalia|Grossularia|*
Arachnida	Animalia|Haemalastor|*
