attribute	value	Inferred from
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Solemyidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Solemyidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Manzanellidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Manzanellidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Ostreida
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000038	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Arcidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Glycymerididae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Glycymerididae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Glycymerididae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Philobryidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Philobryidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Philobryidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000038	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Mytilidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002012	Ostreidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Ostreidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Pteriidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Pteriidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Pteriidae
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.wikidata.org/entity/Q640114	Pteriidae
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/activelyMobile	Pectinoidea
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Corbiculidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Corbiculidae
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Malacostraca
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.wikidata.org/entity/Q640114	Cirripedia
http://www.wikidata.org/entity/Q1053008	http://www.wikidata.org/entity/Q81875	Octocorallia
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002012	Ostracoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Ostracoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Ostracoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Ostracoda
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Ostracoda
http://eol.org/schema/terms/TrophicGuild	http://eol.org/schema/terms/suspensionFeeder	Cyclostomata
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Cyclostomata
http://www.wikidata.org/entity/Q33596	http://www.wikidata.org/entity/Q1759860	Cyclostomata
http://eol.org/schema/terms/EcomorphologicalGuild	http://eol.org/schema/terms/Attached	Cyclostomata
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Dasycladales
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Dasycladales
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002223	Dasycladales
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002012	Dasycladales
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Dasycladales
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Bacillariophyceae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Bacillariophyceae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Bacillariophyceae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Craniata
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.wikidata.org/entity/Q640114	Edrioasteroidea
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Forcipulatida
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Brisingida
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Spinulosida
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Spinulosida
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Spinulosida
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Velatida
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Notomyotida
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Plankton	Graptoloidea
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Tetrapoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Tetrapoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000446	Tetrapoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Gonorhynchiformes
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Siluriformes
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Ariidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Ariidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Ariidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Osmeriformes
http://eol.org/schema/terms/TrophicGuild	http://www.wikidata.org/entity/Q12806437	Ophidiiformes
