t.name,t.uri
Macau,http://www.geonames.org/1821275
Arkansas,http://www.geonames.org/4099753
North Dakota,http://www.geonames.org/5690763
Virginia,http://www.geonames.org/6254928
West Virginia,http://www.geonames.org/4826850
Arizona,http://www.geonames.org/5551752
Labrador Sea,http://www.marineregions.org/mrgid/4291
Indiana,http://www.geonames.org/4921868
Zambia,http://www.geonames.org/895949
Rwanda,http://www.geonames.org/49518
Western Asia,http://www.geonames.org/7729897
Iowa,http://www.geonames.org/4862182
Myanmar,https://www.wikidata.org/entity/Q836
Bhutan,http://www.geonames.org/1252634
New Jersey,http://www.geonames.org/5101760
Labrador Sea,http://www.geonames.org/3424929
Maine,http://www.geonames.org/4971068
Texas,http://www.geonames.org/4736286
Gabon,http://www.geonames.org/2400553
Great Lakes (Americas),http://eol.org/schema/terms/Great_Lakes
Michigan,http://www.geonames.org/5001836
Algeria,http://www.geonames.org/2589581
North Carolina,http://www.geonames.org/4482348
Wisconsin,http://www.geonames.org/5279468
South-Central Us,http://eol.org/schema/terms/South_central_US
Washington,http://www.geonames.org/5815135
Missouri,http://www.geonames.org/4398678
Georgia (Us State),https://www.geonames.org/4197000
Antilles,http://www.geonames.org/3491552
Hungary,http://www.geonames.org/719819
Netherlands Antilles,https://www.wikidata.org/entity/Q25227
Alabama,http://www.geonames.org/4829764
South Carolina,http://www.geonames.org/4597040
English Channel,http://www.geonames.org/2649991
Oklahoma,http://www.geonames.org/4544379
Utah,http://www.geonames.org/5549030
Hawaii,http://www.geonames.org/5855797
Mississippi,http://www.geonames.org/4436296
Sao Tome And Principe Exclusive Economic Zone,http://marineregions.org/mrgid/8397
Saskatchewan,http://www.geonames.org/6141242
Korea,http://www.wikidata.org/entity/Q18097
Switzerland,http://www.geonames.org/2658434
Gulf Of Guinea,http://www.marineregions.org/mrgid/4286
Red Sea,http://www.marineregions.org/mrgid/4264
Sweden,http://www.geonames.org/2661886
Croatia,http://www.geonames.org/3202326
South Atlantic Ocean,http://www.geonames.org/3358844
The Netherlands,http://www.geonames.org/2750405
Oregon,http://www.geonames.org/5744337
Us Fws Pacific Region,http://www.fws.gov/pacific/
Estonia,http://www.geonames.org/453733
Red Sea,http://www.geonames.org/350155
Antarctica,http://www.geonames.org/6697173
England,http://www.geonames.org/6269131
Us Fws Northeast Region,http://www.fws.gov/northeast/
Vermont,http://www.geonames.org/5242283
Ireland,http://www.geonames.org/2963597
us fws midwest region,https://www.fws.gov/midwest/
Weddell Sea,http://www.geonames.org/4036624
South Dakota,http://www.geonames.org/5769223
Denmark,http://www.geonames.org/2623032
Minnesota,http://www.geonames.org/5037779
Sierra Leone,http://www.geonames.org/2403846
Germany,http://www.geonames.org/2921044
French Guiana,http://www.geonames.org/3381670
Maldives,http://www.geonames.org/1282028
Poland,http://www.geonames.org/798544
Kenya,http://www.geonames.org/192950
Cape Verde,https://www.wikidata.org/entity/Q1011
English Channel,http://www.marineregions.org/mrgid/2389
North Sea,http://www.marineregions.org/mrgid/2350
Belgium,http://www.geonames.org/2802361
Democratic Republic Of The Congo,http://www.wikidata.org/entity/Q974
Bulgaria,http://www.geonames.org/732800
Kayin,http://www.geonames.org/1320233
Sagaing,http://www.geonames.org/1298480
Yangon,http://www.geonames.org/1298824
Rakhine,http://www.geonames.org/1298852
Mon,http://www.geonames.org/1308528
Magway,http://www.geonames.org/1312604
Taninthayi,http://www.geonames.org/1293118
