Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Plants,Azollaceae,Azolla cristata,,mosquitofern,Native,Freshwater
Plants,Azollaceae,Azolla pinnata pinnata,,feathered mosquitofern,Exotic,Freshwater
Plants,Plantaginaceae,Bacopa egensis,,Brazilian water-hyssop,Exotic,Freshwater
Plants,Plantaginaceae,Bacopa monnieri,,coastal waterhyssop,Native,Freshwater
Plants,Plantaginaceae,Bacopa repens,,creeping waterhyssop,Native,Freshwater
Fishes,Sciaenidae,Bairdiella icistia,,Bairdiella,Exotic,Marine
Fishes,Cyprinidae,Balantiocheilos melanopterus,,tricolor sharkminnow,Exotic,Freshwater
Fishes,Balistidae,Balistoides conspicillum,,clown triggerfish,Exotic,Marine
Fishes,Cyprinidae,Barbonymus schwanenfeldii,,tinfoil barb,Exotic,Freshwater
Annelids-Hirundinea,,Barbronia weberi,,leech,Exotic,Freshwater
Fishes,Poeciliidae,Belonesox belizanus,,Pike Killifish,Exotic,Freshwater
Fishes,Osphronemidae,Betta splendens,,Siamese fighting fish,Exotic,Freshwater
Mollusks-Gastropods,Planorbidae,Biomphalaria glabrata,,bloodfluke planorb,Exotic,Freshwater
Mollusks-Gastropods,Planorbidae,Biomphalaria havanensis,,ghost rams-horn,Native,Freshwater
Mollusks-Gastropods,Bithyniidae,Bithynia tentaculata,,mud bithynia, faucet snail,Exotic,Freshwater
Coelenterates-Hydrozoans,Campanulinidae,Blackfordia virginica,,Black Sea jellyfish,Exotic,Freshwater-Marine
Plants,Hydrocharitaceae,Blyxa aubertii,,roundfruit blyxa,Exotic,Freshwater
Amphibians-Frogs,Bombinatoridae,Bombina orientalis,,Oriental Fire-bellied Toad,Exotic,Freshwater
Crustaceans-Cladocerans,Bosminidae,Bosmina coregoni,,water flea,Exotic,Freshwater
Rotifers,Brachionidae,Brachionus forficula,,a brachionid rotifer,Exotic,Freshwater
Crustaceans-Copepods,Cyclopidae,Bryocyclops muscicola,,a copepod,Exotic,Freshwater
Amphibians-Frogs,Bufonidae,Bufo bufo,,European Toad,Exotic,Freshwater
Plants,Butomaceae,Butomus umbellatus,,flowering rush,Exotic,Freshwater
Crustaceans-Cladocerans,Cercopagidae,Bythotrephes longimanus,,spiny waterflea,Exotic,Freshwater
Plants,Cabombaceae,Cabomba caroliniana,,Carolina fanwort,Native,Freshwater
Plants,Cabombaceae,Cabomba palaeformis,,fish-grass,Exotic,Freshwater
Crustaceans-Isopods,Trachelipodidae,Caecidotea laticaudata,,a  freshwater isopod,Native,Freshwater
Crustaceans-Isopods,Asellidae,Caecidotea racovitzai,,an asellid isopod,Native,Freshwater
Reptiles-Crocodilians,Alligatoridae,Caiman crocodilus,,Common Caiman,Exotic,Freshwater
Fishes,Callichthyidae,Callichthys callichthys,,cascarudo,Exotic,Freshwater
Plants,Plantaginaceae,Callitriche stagnalis,,pond water-starwort,Exotic,Freshwater
Crustaceans-Crayfish,Cambaridae,Cambarellus shufeldtii,,Cajun dwarf crayfish,Native,Freshwater
Crustaceans-Crayfish,Cambaridae,Cambarus cumberlandensis,,Cumberland crayfish,Native,Freshwater
Crustaceans-Crayfish,Cambaridae,Cambarus longirostris,,longnose crayfish,Native,Freshwater
Crustaceans-Crayfish,Cambaridae,Cambarus robustus,,big water crayfish,Native,Freshwater
Fishes,Cyprinidae,Campostoma anomalum,,Central Stoneroller,Native,Freshwater
Fishes,Cyprinidae,Campostoma oligolepis,,Largescale Stoneroller,Native,Freshwater
Fishes,Cyprinidae,Campostoma pauciradii,,Bluefin Stoneroller,Native,Freshwater
Plants,Cannaceae,Canna glauca,,maraca amarilla,Native,Freshwater
Fishes,Carangidae,Caranx caballus,,Green Jack,Exotic,Marine
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus x C. carassius,,goldfish x Crucian carp,Exotic Hybrid,Freshwater
Fishes,Cyprinidae,Carassius auratus x Cyprinus carpio,,goldfish x common carp,Exotic Hybrid,Freshwater
Fishes,Cyprinidae,Carassius carassius,,crucian carp,Exotic,Freshwater
Fishes,Cyprinidae,Carassius gibelio,,Prussian carp,Exotic,Freshwater
Plants,Cyperaceae,Carex acutiformis,,lesser pond sedge,Exotic,Freshwater
Plants,Cyperaceae,Carex disticha,,tworank sedge,Exotic,Freshwater
Crustaceans-Shrimp,Atyidae,Caridina weberi,,atyid shrimp,Exotic,Freshwater
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater
Fishes,Catostomidae,Carpiodes cyprinus,,Quillback,Native,Freshwater
Fishes,Catostomidae,Carpiodes velifer,,Highfin Carpsucker,Native,Freshwater
Mammals,Castoridae,Castor canadensis,,American Beaver,Native,Freshwater
Fishes,Catostomidae,Catostomus ardens,,Utah Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus catostomus,,Longnose Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus fumeiventris,,Owens Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus latipinnis,,Flannelmouth Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus occidentalis,,Sacramento Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus platyrhynchus,,Mountain Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus plebeius,,Rio Grande Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus santaanae,,Santa Ana Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus tahoensis,,Tahoe Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus undescribed sp.,,Little Colorado River sucker,Native,Freshwater
Fishes,Centrarchidae,Centrarchus macropterus,,Flier,Native,Freshwater
Fishes,Pomacanthidae,Centropyge flavissima,,lemonpeel angel,Exotic,Marine
Fishes,Pomacanthidae,Centropyge loricula,,flaming angelfish,Native,Marine
Fishes,Serranidae,Cephalopholis argus,,peacock hind,Exotic,Marine
Fishes,Serranidae,Cephalopholis urodeta,,darkfin hind,Exotic,Marine
Plants,Pteridaceae,Ceratopteris richardii,,triangle waterfern,Native,Freshwater
Plants,Pteridaceae,Ceratopteris thalictroides,,watersprite,Native,Freshwater
Crustaceans-Cladocerans,Cercopagidae,Cercopagis pengoi,,fishhook waterflea,Exotic,Freshwater-Brackish
Fishes,Engraulidae,Cetengraulis mysticetus,,Anchoveta,Native,Marine
Fishes,Chaetodontidae,Chaetodon lunula,,raccoon butterflyfish,Native,Marine
Fishes,Pomacanthidae,Chaetodontoplus mesoleucus,,vermiculated angelfish,Exotic,Marine
Fishes,Channidae,Channa argus,,Northern Snakehead,Exotic,Freshwater
Fishes,Channidae,Channa maculata,,Blotched Snakehead,Exotic,Freshwater
Fishes,Channidae,Channa marulius,,Bullseye Snakehead,Exotic,Freshwater
Fishes,Channidae,Channa micropeltes,,Giant Snakehead,Exotic,Freshwater
Fishes,Chanidae,Chanos chanos,,Milkfish,Native,Marine-Brackish
Fishes,Catostomidae,Chasmistes brevirostris,,Shortnose Sucker,Native,Freshwater
Reptiles-Turtles,Chelidae,Chelus fimbriatus,,Matamata,Exotic,Freshwater
Reptiles-Turtles,Chelydridae,Chelydra serpentina,,Snapping Turtle,Native,Freshwater
Reptiles-Turtles,Chelydridae,Chelydra serpentina serpentina,,Eastern Snapping Turtle,Native,Freshwater
Crustaceans-Crayfish,Parastacidae,Cherax quadricarinatus,,Australian redclaw crayfish,Exotic,Freshwater
Fishes,Hemiscylliidae,Chiloscyllium punctatum,,brownbanded bambooshark,Exotic,Marine
Fishes,Atherinopsidae,Chirostoma jordani,,Mesa Silverside,Exotic,Freshwater
Fishes,Notopteridae,Chitala ornata,,Clown Knifefish,Exotic,Freshwater
Fishes,Serranidae,Chromileptes altivelis,,panther grouper,Exotic,Marine
Fishes,Cyprinidae,Chrosomus eos,,Northern Redbelly Dace,Native,Freshwater
Fishes,Cyprinidae,Chrosomus neogaeus,,Finescale Dace,Native,Freshwater
Fishes,Cyprinidae,Chrosomus oreas,,Mountain Redbelly Dace,Native,Freshwater
Reptiles-Turtles,Emydidae,Chrysemys picta,,Painted Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Chrysemys picta bellii,,Western Painted Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Chrysemys picta dorsalis,,Southern Painted Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Chrysemys picta marginata,,Midland Painted Turtle,Native,Freshwater
Fishes,Cichlidae,Cichla ocellaris,,Butterfly Peacock Bass,Exotic,Freshwater
Fishes,Cichlidae,Cichla temensis,,speckled pavon,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma beani,,Sinaloa Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma bimaculatum,,Black Acara,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma festae,,Guayas cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma salvini,,Yellowbelly Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma sp.,,cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma spilurum,,blue-eyed cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma trimaculatum,,Threespot Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma urophthalmus,,Mayan Cichlid,Exotic,Freshwater
Mollusks-Gastropods,Viviparidae,Cipangopaludina chinensis,,Chinese mysterysnail,Exotic,Freshwater
Mollusks-Gastropods,Viviparidae,Cipangopaludina chinensis chinensis,,,Exotic,Freshwater
Mollusks-Gastropods,Viviparidae,Cipangopaludina japonica,,Japanese mysterysnail,Exotic,Freshwater
Mollusks-Gastropods,Viviparidae,Cipangopaludina sp.,,a mysterysnail,Exotic,Freshwater
Fishes,Cirrhitidae,Cirrhitichthys falco,,dwarf hawkfish,Exotic,Marine
Fishes,Cirrhitidae,Cirrhitichthys oxycephalus,,Coral Hawkfish,Exotic,Marine
Fishes,Clariidae,Clarias batrachus,,Walking Catfish,Exotic,Freshwater
Fishes,Clariidae,Clarias fuscus,,whitespotted clarias,Exotic,Freshwater
Fishes,Cyprinidae,Clinostomus elongatus,,Redside Dace,Native,Freshwater
Fishes,Cyprinidae,Clinostomus funduloides,,Rosyside Dace,Native,Freshwater
Fishes,Cyprinidae,Clinostomus funduloides funduloides,,Rosyside Dace,Native,Freshwater
Fishes,Osphronemidae,Colisa lalia,,dwarf gourami,Exotic,Freshwater
Fishes,Characidae,Colossoma macropomum,,tambaqui,Exotic,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Atherinopsidae,Colpichthys regis,,False Grunion,Exotic,Marine
Mollusks-Bivalves,Cyrenidae,Corbicula fluminea,,Asian clam,Exotic,Freshwater
Mollusks-Bivalves,Cyrenidae,Corbicula sp. Form D,,Asian clam,Exotic,Freshwater
Coelenterates-Hydrozoans,Clavidae,Cordylophora caspia,,freshwater hydroid,Exotic,Freshwater-Marine
