Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10070	Hyperolius horstockii (Schlegel, 1837)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	horstockii		Species					1
10071	Hyperolius marmoratus Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	marmoratus 		Species					1
10072	Hyperolius marmoratus marmoratus Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	marmoratus	marmoratus	Infraspecies			not recognised by catalogue of life		1
10073	Hyperolius marmoratus taeniatus Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	marmoratus	taeniatus	Infraspecies			not recognised by catalogue of life		1
10074	Hyperolius marmoratus verrucosus Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	marmoratus	verrucosus	Infraspecies			not recognised by catalogue of life		1
10075	Hyperolius nasutus Günther, 1865		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	nasutus		Species					1
10076	Hyperolius pickersgilli Raw, 1982		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	pickersgilli 		Species					1
10077	Hyperolius poweri Loveridge, 1938		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	poweri 		Species					1
10078	Hyperolius pusillus (Cope, 1862)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	pusillus 		Species					1
10079	Hyperolius semidiscus Hewitt, 1927		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	semidiscus 		Species					1
10080	Hyperolius tuberilinguis Smith, 1849		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	tuberilinguis 		Species					1
10081	Kassina Girard, 1853		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Kassina			Genus					1
10082	Kassina maculata (Duméril, 1853)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Kassina	maculata 		Species					1
10083	Kassina senegalensis (Duméril & Bibron, 1841)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Kassina	senegalensis 		Species					1
10084	Semnodactylus Hoffman, 1939		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Semnodactylus			Genus					1
10085	Semnodactylus wealii (Boulenger, 1882)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Semnodactylus	wealii 		Species					1
10086	Phrynomerinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae						Family					1
10087	Brevicipitinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae					Subfamily					1
10088	Breviceps Merrem, 1820		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps			Genus					1
10089	Breviceps acutirostris Poynton, 1963		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	acutirostris 		Species			may also be found in family Brevicipitidae		1
10090	Breviceps adspersus Peters, 1882		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	adspersus 		Species			may also be found in family Brevicipitidae;author also listed as Werner, 1899		1
10091	Breviceps adspersus adspersus Peters, 1882		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	adspersus	adspersus	Infraspecies			may also be found in family Brevicipitidae; not recognised by catalogue of life		1
10092	Breviceps adspersus pentheri Werner, 1899		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	adspersus	pentheri	Infraspecies			may also be found in family Brevicipitidae; not recognised by catalogue of life		1
10093	Breviceps bagginsi Minter, 2003		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	bagginsi 		Species			may also be found in family Brevicipitidae		1
10094	Breviceps fuscus Hewitt, 1925		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	fuscus 		Species			may also be found in family Brevicipitidae		1
10095	Breviceps gibbosus (Linnaeus, 1758)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	gibbosus 		Species			may also be found in family Brevicipitidae		1
