TaxonID	Name	Source Reference	Language	Locality	CountryCode	IsPreferredName	TaxonRemarks
Parotomys brantsi	Brants se fluitrot		Afrikaans				
Dendromus mesomelas 	Brants se klimmuis		Afrikaans				
Smithornis capensis	Breëbek		Afrikaans				
Limicola falcinellus	Breëbekstrandloper		Afrikaans				
Pachyptila vittata	Breëbekwalvisvoël		Afrikaans				
Polemaetus bellicosus	Breëkoparend		Afrikaans				
Vidua obtusa	Breëstertparadysvink		Afrikaans				
Schoenicola brevirostris	Breëstertsanger		Afrikaans				
Procellaria conspicillata	Brilbassiaan		Afrikaans				
Spheniscus demersus	Brilpikkewyn		Afrikaans				
Sterna anaethetus	Brilsterretjie		Afrikaans				
Ploceus ocularis	Brilwewer		Afrikaans				
Bucorvus leadbeateri	Bromvoël		Afrikaans				
Rhinoptilus chalcopterus	Bronsvlerkdrawwertjie		Afrikaans				
Phoebetria fusca	Bruinalbatros (-malmok)		Afrikaans				
Aquila wahlbergi	Bruinarend		Afrikaans				
Netta erythrophthalma	Bruineend		Afrikaans				
Hyaena brunnea 	Bruinhiëna		Afrikaans				
Buteo vulpinus	Bruinjakkalsvoël		Afrikaans				
Eremomela usticollis	Bruinkeelbossanger		Afrikaans				
Ploceus xanthopterus	Bruinkeelwewer		Afrikaans				
Poicephalus cryptoxanthus	Bruinkoppapegaai		Afrikaans				
Halcyon albiventris	Bruinkopvisvanger		Afrikaans				
Sula leucogaster	Bruinmalgas		Afrikaans				
Puffinus carneipes	Bruinpylstormvoël		Afrikaans				
Catharacta antarctica	Bruinroofmeeu		Afrikaans				
Circaetus cinereus	Bruinslangarend		Afrikaans				
Prinia subflava	Bruinsylangstertjie		Afrikaans				
Apus pallidus	Bruinwindswael		Afrikaans				
Cercotrichas signata	Bruinwipstert		Afrikaans				
Petromyscus monticularis 	Brukkaros klipmuis		Afrikaans				
Petromyscus monticularis 	Brukkaros-dwergklipmuis		Afrikaans				
Balaenoptera edeni 	Bryde se walvis		Afrikaans				
Syncerus caffer	Buffel		Afrikaans				
Bubalornis niger	Buffelwewer		Afrikaans				
Equus quagga	Chapman-sebra		Afrikaans				
Thalassarche eremita	Chathamalbatros (-malmok)		Afrikaans				
Hipposideros commersoni	Commerson se bladneusvlermuis		Afrikaans				
Ziphius cavirostris 	Cuvier se snoetwalvis		Afrikaans				
Equus zebra hartmannae	Damaralandse bergkwagga		Afrikaans				
Petromyscus collinus	Damaralandse klipmuis		Afrikaans				
Cryptomys damarensis 	Damaralandse vaalmol		Afrikaans				
Kerivoula argentata	Damaralandse wolhaarvlermuis		Afrikaans				
Sterna balaenarum	Damarasterretjie		Afrikaans				
Kerivoula argentata	Damara-wolhaarvlermuis		Afrikaans				
Rhinolophus darlingi 	Darling se saalneusvlermuis		Afrikaans				
Rhinolophus darlingi 	Darling se vlermuis		Afrikaans				
Petromus typicus 	Dassierot		Afrikaans				
Thamnolaea cinnamomeiventris	Dassievoël		Afrikaans				
Cryptochloris wintoni 	De Winton se gouemol		Afrikaans				
Cryptochloris wintoni 	De Winton se kruipmol		Afrikaans				
Laephotis wintoni	De Winton se langoorvlermuis		Afrikaans				
Rhinolophus denti 	Dent se saalneusvlermuis		Afrikaans				
Falco dickinsoni	Dickinsonse Grysvalk		Afrikaans				
Chrysococcyx caprius	Diederikkie		Afrikaans				
Spermestes fringilloides	Dikbekfret		Afrikaans				
Crithagra sulphuratus	Dikbekkanarie		Afrikaans				
Pachycoccyx audeberti	Dikbekkoekoek		Afrikaans				
Galerida magnirostris	Dikbeklewerik		Afrikaans				
Amblyospiza albifrons	Dikbekwewer		Afrikaans				
Bunolagus monticularis 	Doekvoetjie		Afrikaans				
Anthus leucophrys	Donkerkoester		Afrikaans				
Pinarocorys nigricans	Donkerlewerik		Afrikaans				
Caprimulgus tristigma	Donkernaguil		Afrikaans				
Myosorex cafer 	Donkerpootbosskeerbek		Afrikaans				
Melierax metabates	Donkersingvalk		Afrikaans				
Muscicapa adusta	Donkervlieëvanger		Afrikaans				
Eremomela scotops	Donkerwangbossanger		Afrikaans				
Pterodroma mollis	Donsveerstormvoël		Afrikaans				
Hirundo smithii	Draadstertswael		Afrikaans				
Jynx ruficollis	Draaihals		Afrikaans				
Otocyon megalotis	Draaijakkals		Afrikaans				
Prinia hypoxantha	Drakensberglangstertjie		Afrikaans				
Heteromirafra ruddi	Drakensberglewerik		Afrikaans				
Rhinoptilus cinctus	Driebanddrawwertjie		Afrikaans				
Charadrius tricollaris	Driebandstrandkiewiet		Afrikaans				
Cloeotis percivali 	Drietand-bladneusvlermuis		Afrikaans				
Calidris alba	Drietoonstrandloper		Afrikaans				
Rhinoptilus africanus	Dubbelbanddrawwertjie		Afrikaans				
Pterocles bicinctus	Dubbelbandsandpatrys		Afrikaans				
Circaetus fasciolatus	Dubbelbandslangarend		Afrikaans				
Gallinago media	Dubbelsnip		Afrikaans				
Dugong  dugon	Dugong		Afrikaans				
Sylvicapra grimmia 	Duiker		Afrikaans				
Larus genei	Dunbekmeeu		Afrikaans				
Pachyptila belcheri	Dunbekwalvisvoël		Afrikaans				
Chlorotalpa duthieae 	Duthie se gouemol		Afrikaans				
Chlorotalpa duthieae 	Duthie se kruipmol		Afrikaans				
Aquila pennatus	Dwergarend		Afrikaans				
Nettapus auritus	Dwerggans		Afrikaans				
Petromyscus collinus	Dwergklipmuis		Afrikaans				
Microparra capensis	Dwerglangtoon		Afrikaans				
Feresa attenuata 	Dwergmoordvis		Afrikaans				
Mus minutoides 	Dwergmuis		Afrikaans				
Helogale parvula 	Dwergmuishond		Afrikaans				
Caperea marginata 	Dwergnoordkaper		Afrikaans				
Kogia breviceps 	Dwergpotvis		Afrikaans				
Ixobrychus sturmii	Dwergrietreier		Afrikaans				
Crocidura fuscomurina	Dwergskeerbek		Afrikaans				
Crocidura fuscomurina	Dwergskeerbekmuis		Afrikaans				
Polihierax semitorquatus	Dwergvalk		Afrikaans				
Ispidina picta	Dwergvisvanger		Afrikaans				
Falco biarmicus	Edelvalk		Afrikaans				
Lemniscomys rosalia 	Eenstreepmuis		Afrikaans				
Neophron percnopterus	Egiptiese Aasvoël		Afrikaans				
Tadarida aegyptiaca	Egiptiese losstertvlermuis		Afrikaans				
Rousettus egyptiacus 	Egiptiese vrugtevlermuis		Afrikaans				
Taphozous perforatus	Egiptiese witlyfvlermuis		Afrikaans				
Taurotragus oryx 	Eland		Afrikaans				
Falco eleonorae	Eleonoravalk		Afrikaans				
Circaetus cinerascens	Enkelbandslangarend		Afrikaans				
Orycteropus afer	Erdvark		Afrikaans				
Proteles cristatus	Erdwolf		Afrikaans				
Saxicola rubetra	Europese Bontrokkie		Afrikaans				
Falco subbuteo	Europese Boomvalk		Afrikaans				
Merops apiaster	Europese Byvreter		Afrikaans				
Cuculus canorus	Europese Koekoek		Afrikaans				
Caprimulgus europaeus	Europese Naguil		Afrikaans				
Riparia riparia	Europese Oewerswael		Afrikaans				
Acrocephalus palustris	Europese Rietsanger		Afrikaans				
Phoenicurus phoenicurus	Europese Rooistert		Afrikaans				
Oenanthe oenanthe	Europese Skaapwagter		Afrikaans				
Anas clypeata	Europese Slopeend		Afrikaans				
Sturnus vulgaris	Europese Spreeu		Afrikaans				
Hydrobates pelagicus	Europese Stormswael		Afrikaans				
Hirundo rustica	Europese Swael		Afrikaans				
Streptopelia turtur	Europese Tortelduif		Afrikaans				
Coracias garrulus	Europese Troupant		Afrikaans				
Acrocephalus schoenobaenus	Europese Vleisanger		Afrikaans				
Circus aeruginosus	Europese Vleivalk(Paddavreter)		Afrikaans				
Muscicapa striata	Europese Vlieëvanger		Afrikaans				
Oriolus oriolus	Europese Wielewaal		Afrikaans				
Apus apus	Europese Windswael		Afrikaans				
Hirundo spilodera	Familieswael		Afrikaans				
Stenostira scita	Feevlieëvanger		Afrikaans				
Lanius collaris	Fiskaallaksman		Afrikaans				
Sigelus silens	Fiskaalvlieëvanger		Afrikaans				
Dendrocygna bicolor	Fluiteend		Afrikaans				
Larus pipixcan	Franklinse Meeu		Afrikaans				
Lagenodelphis hosei 	Fraser se dolfyn		Afrikaans				
Lagenodelphis hosei 	Fraser-dolfyn		Afrikaans				
Amblysomus corriae 	Fynbos gouemol		Afrikaans				
Epomophorus gambianus	Gambiaanse witkolvrugtevlermuis		Afrikaans				
Zosterops pallidus	Gariepglasogie		Afrikaans				
Mungos mungo	Gebande muishond		Afrikaans				
Riparia cincta	Gebande Oewerswael		Afrikaans				
Calamonastes fasciolatus	Gebande Sanger		Afrikaans				
Accipiter badius	Gebande Sperwer		Afrikaans				
Glaucidium capense	Gebande Uil		Afrikaans				
Scotophilus dinganii 	Geel dakvlermuis		Afrikaans				
Calcochloris obtusirostris 	Geel gouemol		Afrikaans				
Eidolon helvum	Geel vrugtevlermuis		Afrikaans				
Columba arquatrix	Geelbekbosduif		Afrikaans				
Anas undulata	Geelbekeend		Afrikaans				
Turdus smithi	Geelbeklyster		Afrikaans				
Tockus leucomelas	Geelbekneushoringvoël		Afrikaans				
Calonectris diomedea	Geelbekpylstormvoël		Afrikaans				
Buphagus africanus	Geelbekrenostervoël		Afrikaans				
Sterna bergii	Geelbeksterretjie		Afrikaans				
Egretta intermedia	Geelbekwitreier		Afrikaans				
Milvus migrans	Geelbekwou		Afrikaans				
Stactolaema whytii	Geelbleshoutkapper		Afrikaans				
Pogoniulus chrysoconus	Geelblestinker		Afrikaans				
Crithagra citrinipectus	Geelborskanarie		Afrikaans				
Apalis flavida	Geelborskleinjantjie		Afrikaans				
Anthus chloris	Geelborskoester		Afrikaans				
Charadrius pecuarius	Geelborsstrandkiewiet		Afrikaans				
Chlorocichla flaviventris	Geelborswillie		Afrikaans				
Zosterops senegalensis	Geelglasogie		Afrikaans				
Crithagra flaviventris	Geelkanarie		Afrikaans				
Macronyx croceus	Geelkeelkalkoentjie		Afrikaans				
Pterocles gutturalis	Geelkeelsandpatrys		Afrikaans				
Phylloscopus ruficapilla	Geelkeelsanger		Afrikaans				
Heterohyrax brucei 	Geelkoldas		Afrikaans				
Heterohyrax brucei 	Geelkoldassie		Afrikaans				
Eudyptes chrysocome	Geelkuifpikkewyn		Afrikaans				
Motacilla flava	Geelkwikkie		Afrikaans				
Cynictis penicillata 	Geelmuishond		Afrikaans				
Crithagra mozambicus	Geeloogkanarie		Afrikaans				
Eremomela icteropygialis	Geelpensbossanger		Afrikaans				
Cinnyris venustus	Geelpenssuikerbekkie		Afrikaans				
Calidris melanotos	Geelpootstrandloper		Afrikaans				
Chloropeta natalensis	Geelsanger		Afrikaans				
Phyllastrephus flavostriatus	Geelstreepboskruiper		Afrikaans				
Petronia superciliaris	Geelvlekmossie		Afrikaans				
Nicator gularis	Geelvleknikator		Afrikaans				
Ploceus subaureus	Geelwewer		Afrikaans				
Tockus alboterminatus	Gekroonde Neushoringvoël		Afrikaans				
Oryx gazella 	Gemsbok		Afrikaans				
Graphiurus ocularis 	Gemsbokmuis		Afrikaans				
Rhinolophus clivosus 	Geoffroy se saalneusvlermuis		Afrikaans				
Rhinolophus clivosus 	Geoffroyhoefystervlermuis		Afrikaans				
Crithagra scotops	Gestreepte Kanarie		Afrikaans				
Anthus lineiventris	Gestreepte Koester		Afrikaans				
Clamator levaillantii	Gestreepte Nuwejaarsvoël		Afrikaans				
Calonectris leucomelas	Gestreepte Pylstormvoël		Afrikaans				
Aenigmatolimnas marginalis	Gestreepte Riethaan		Afrikaans				
Halcyon chelicuti	Gestreepte Visvanger		Afrikaans				
Sarothrura affinis	Gestreepte Vleikuiken		Afrikaans				
Centropus superciliosus	Gestreepte Vleiloerie		Afrikaans				
Cercotrichas leucophrys	Gestreepte Wipstert		Afrikaans				
Aquila pomarina	Gevlekte Arend		Afrikaans				
Stenella attenuata	Gevlekte dolfyn		Afrikaans				
Anas hottentota	Gevlekte Eend		Afrikaans				
Indicator variegatus	Gevlekte Heuningwyser		Afrikaans				
Crocuta crocuta 	Gevlekte hiëna		Afrikaans				
Cisticola textrix	Gevlekte Klopkloppie		Afrikaans				
Clamator glandarius	Gevlekte Koekoek		Afrikaans				
Psophocichla litsitsirupa	Gevlekte Lyster		Afrikaans				
Colius striatus	Gevlekte Muisvoël		Afrikaans				
Bubo africanus	Gevlekte Ooruil		Afrikaans				
Porzana porzana	Gevlekte Riethaan		Afrikaans				
Tringa erythropus	Gevlekte Rooipootruiter		Afrikaans				
Pterocles burchelli	Gevlekte Sandpatrys		Afrikaans				
