ref_entity	Taxon	page
Q117188719	Arthrocereus	184
Q117188719	Arthrocnemum	274
Q117188719	Arthrophytum	276
Q117188719	Artocarpeae	447
Q117188719	Artocarpoideae	439
Q117188719	Artocarpus	447
Q117188719	Asaroideae	134
Q117188719	Asarum	134
Q117188719	Ascarina	286
Q117188719	A. lucida	283
Q117188719	A. philippinensis	283
Q117188719	Index to Scientific Names	
Q117188719	Ascarinopsis	286
Q117188719	Asimina	126
Q117188719	Asiphonia	134
Q117188719	Aspazoma	47
Q117188719	Aspidocarya	413
Q117188719	Aspidostemon	386
Q117188719	Asteraceae	26
Q117188719	Asteranthe	116
Q117188719	Asteranthopsis	116
Q117188719	Asteropollis	285
Q117188719	Asteropyrum	581
Q117188719	Astragalus	561
Q117188719	Astridia	64
Q117188719	Astrophytum	192
Q117188719	Astrothalamus	626
Q117188719	Atherosperma	432
Q117188719	A. moschatum	428
Q117188719	Atherospermataceae	430
Q117188719	Atherospermatae	432
Q117188719	Atherospermatoideae	432
Q117188719	Atopostema	123
Q117188719	Atraphaxis	542
Q117188719	Atriplex	267
Q117188719	A. farinosa	267
Q117188719	Atripliceae	266
Q117188719	Atriplicinae	260
Q117188719	Australina	628
Q117188719	Austrobaileya	140
Q117188719	Austrobaileyaceae	138
Q117188719	Austrobassia	269
Q117188719	Austrocactus	185
Q117188719	Austrocephalocereus	182
Q117188719	Austrocylindropuntia	172
Q117188719	Austromatthaea	434
Q117188719	Axyris	266
Q117188719	Aylostera	184
Q117188719	Aztekium	194
Q117188719	Azureocereus	189
Q117188719	Babbagia	270
Q117188719	Backebergia	190
Q117188719	Bagassa	448
Q117188719	Baitaria	551
Q117188719	Bakerolimon	529
Q117188719	Balanopaceae	306
Q117188719	Balanops	9
Q117188719	Balonga	111
Q117188719	Bamiana	528
Q117188719	Banalia	81
Q117188719	Baolia	266
Q117188719	Barbeuia	514
Q117188719	Barbeuioideae	510
Q117188719	Barbeya	143
Q117188719	B. oleoides	141
Q117188719	Barbeyaceae	141
Q117188719	Barbeyales	142
Q117188719	Barclaya	491
Q117188719	Barneoudia	576
Q117188719	Bartschella	196
Q117188719	Basella	321
Q117188719	B. alba	154
Q117188719	Basellaceae	143
Q117188719	Bassia	269
Q117188719	Bataceae	13
Q117188719	Batocarpus	448
Q117188719	Bdallophyton	562
Q117188719	Beesia	573
Q117188719	Beilschmiedia	385
Q117188719	Beilschmiediinae	374
Q117188719	Beirnaertia	410
Q117188719	Belemia	483
Q117188719	Belliolum	637
Q117188719	Berberidaceae	571
Q117188719	Berberidales	18
Q117188719	Berberideae	149
Q117188719	Berberidineae	149
Q117188719	Berberidoideae	149
Q117188719	Berberis	150
Q117188719	Bergeranthus	61
Q117188719	Bergerocactus	190
Q117188719	Berlinia	561
Q117188719	Berlinianche	561
Q117188719	Berrisfordia	60
Q117188719	Beta	265
Q117188719	Beteae	265
Q117188719	Betoideae	261
Q117188719	Betula	156
Q117188719	Betulaceae	152
Q117188719	Betulales	354
Q117188719	Betuloideae	155
Q117188719	Bicuiba	465
Q117188719	Bienertia	274
Q117188719	Bijlia	62
Q117188719	Bilderdykia	527
Q117188719	Binghamia	182
Q117188719	Biophytum	288
Q117188719	Bisnaga	195
Q117188719	Bistorta	542
Q117188719	Blackiella	267
Q117188719	Bleekrodea	447
Q117188719	Blitum	266
Q117188719	Blossfeldia	187
Q117188719	Blutaparon	90
Q117188719	Bocagea A. St. Hil.	124
Q117188719	Bocagea Bl.	113
Q117188719	Bocageopsis	121
Q117188719	B. multiflora	99
Q117188719	Bocconia	502
Q117188719	B. frutescens	498
Q117188719	Boehmeria	623
Q117188719	B. macrophylla	614
Q117188719	Boehmerieae	623
Q117188719	Boerhavia	481
Q117188719	Boerhaviinae	481
Q117188719	Bolanthus	231
Q117188719	Bolbosaponaria	230
Q117188719	Boldoa	480
Q117188719	Boldoeae	480
Q117188719	Bolivicereus	183
Q117188719	Bolusanthemum	62
Q117188719	Bongardia	150
Q117188719	Bonifazia	179
Q117188719	Boqllila	365
Q117188719	Borismene	414
Q117188719	Borsczowia	274
Q117188719	Borzicactella	183
Q117188719	Borzicactlls	183
Q117188719	Bosea	80
Q117188719	Bosqlleia	451
Q117188719	Bosqueiopsis	451
Q117188719	Bougainvillea	483
Q117188719	Bougainvilleeae	483
Q117188719	Bougainvilleinae	478
Q117188719	BOllssingaultia	146
Q117188719	Boutiquea	118
Q117188719	Brachycalycium	185
Q117188719	Brachycereus	182
Q117188719	Brachystegia	561
Q117188719	Brachystemma	226
Q117188719	Bracteanthus	433
Q117188719	Bragantia	135
Q117188719	Bragantieae	134
Q117188719	Brasenia	160
Q117188719	Brasilicactus	186
Q117188719	Brasilicereus	180
Q117188719	Brasiliopuntia	172
Q117188719	Brasiliparodia	186
Q117188719	Brassicaceae	556
Q117188719	Brassiodendron	385
Q117188719	Braunsia	62
Q117188719	Brayulinea	88
Q117188719	Brayulineeae	75
Q117188719	Brezia	274
Q117188719	Brieya	115
Q117188719	Brochoneura	464
Q117188719	Brosimum	451
Q117188719	B. alicastrum	440
Q117188719	Broussonetia	446
