taxonID	furtherInformationURL	scientificName	taxonRank
1211200303	http://www.fao.org/fishery/species/2925/en	Pellona ditchela (Valenciennes, 1847) 	species
1431300101	http://www.fao.org/fishery/species/2994/en	Conger conger (Linnaeus, 1758) 	species
1705905101	http://www.fao.org/fishery/species/2408/en	Oreochromis mossambicus (Peters, 1852) 	species
1070300901	http://www.fao.org/fishery/species/2013/en	Ginglymostoma cirratum (Bonnaterre, 1788) 	species
1170100109	http://www.fao.org/fishery/species/2878/en	Acipenser transmontanus (Richardson, 1836) 	species
1210501302	http://www.fao.org/fishery/species/2894/en	Sardinops caeruleus (Girard, 1854) 	species
4060300505	http://www.fao.org/fishery/species/3583/en	Phoca caspica (Gmelin, 1788) 	species
4220200313	http://www.fao.org/fishery/species/18189/en	Mesoplodon stejnegeri (True, 1885) 	species
2290400101	http://www.fao.org/fishery/species/3454/en	Procambarus clarkii (Girard, 1852) 	species
3210502301	http://www.fao.org/fishery/species/2721/en	Dosidicus gigas (Orbigny, 1835) 	species
4220401502	http://www.fao.org/fishery/species/18236/en	Sousa chinensis (Osbck, 1765) 	species
4060300507	http://www.fao.org/fishery/species/2732/en	Phoca largha (Pallas, 1811) 	species
1070200204	http://www.fao.org/fishery/species/13945/en	Orectolobus wardi (Whitley, 1939) 	species
1400233501	http://www.fao.org/fishery/species/2175/en	Puntius gonionotus (Bleeker, 1850) 	species
1830202402	http://www.fao.org/fishery/species/3360/en	Limanda aspera (Pallas, 1814) 	species
1070400201	http://www.fao.org/fishery/species/12617/en	Hemiscyllium freycineti (Quoy &amp; Gaimard, 1824) 	species
1080200401	http://www.fao.org/fishery/species/2018/en	Prionace glauca (Linnaeus, 1758) 	species
4060300506	http://www.fao.org/fishery/species/3584/en	Phoca sibirica (Gmelin, 1788) 	species
1090101401	http://www.fao.org/fishery/species/2841/en	Deania calcea (Lowe, 1839) 	species
1040100102	http://www.fao.org/fishery/species/12656/en	Heterodontus galeatus (Günther, 1870) 	species
2282300303	http://www.fao.org/fishery/species/3435/en	Crangon crangon (Linnaeus, 1758) 	species
3210505803	http://www.fao.org/fishery/species/3567/en	Todarodes pacificus (Steenstrup, 1880) 	species
1090200302	http://www.fao.org/fishery/species/14565/en	Pristiophorus japonicus (Günther, 1870) 	species
1080201017	http://www.fao.org/fishery/species/2021/en	Carcharhinus falciformis (Bibron, 1839) 	species
1090300404	http://www.fao.org/fishery/species/15416/en	Squatina argentina (Marini, 1930) 	species
1702304308	http://www.fao.org/fishery/species/3109/en	Decapterus russelli (Rüpell, 1830) 	species
1750101512	http://www.fao.org/fishery/species/3285/en	Scomberomorus niphonius (Cuvier, 1831) 	species
3160407101	http://www.fao.org/fishery/species/3503/en	Anadara granosa (Linnaeus, 1758) 	species
1240300101	http://www.fao.org/fishery/species/2942/en	Esox lucius (Linnaeus, 1758) 	species
4230200104	http://www.fao.org/fishery/species/2744/en	Balaenoptera musculus (Linnaeus, 1758) 	species
1830200405	http://www.fao.org/fishery/species/3354/en	Pleuronectes platessa (Linnaeus, 1758) 	species
1090100708	http://www.fao.org/fishery/species/2035/en	Squalus megalops (Macleay, 1881) 	species
1040100106	http://www.fao.org/fishery/species/12660/en	Heterodontus quoyi (Fréminville, 1840) 	species
1170100106	http://www.fao.org/fishery/species/10184/en	Acipenser nudiventris (Lovetzky, 1828) 	species
4220200309	http://www.fao.org/fishery/species/18185/en	Mesoplodon mirus (True, 1913) 	species
1400204301	http://www.fao.org/fishery/species/2967/en	Hypophthalmichthys molitrix (Valenciennes, 1844) 	species
1090100809	http://www.fao.org/fishery/species/11182/en	Centrophorus tessellatus (Garman, 1906) 	species
1040100107	http://www.fao.org/fishery/species/12661/en	Heterodontus ramalheira (Smith, 1949) 	species
1830200202	http://www.fao.org/fishery/species/2542/en	Hippoglossus stenolepis (Schmidt, 1904) 	species
3162300203	http://www.fao.org/fishery/species/3535/en	Cerastoderma edule (Linnaeus, 1758) 	species
3161100105	http://www.fao.org/fishery/species/2697/en	Chamelea gallina (Linnaeus, 1758) 	species
1480401202	http://www.fao.org/fishery/species/3014/en	Eleginus gracilis (Tilesius, 1810) 	species
4220403205	http://www.fao.org/fishery/species/18239/en	Stenella clymene (Gray, 1850) 	species
1703923508	http://www.fao.org/fishery/species/2384/en	Sparus aurata (Linnaeus, 1758) 	species
