Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13317378	SC_elsalvador	El Salvador Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_elsalvador.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/adbe63d9-dc74-4a73-9def-e73c67752649
13316482	SC_equatorialquinea	Equatorial Guinea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_equatorialquinea.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/86fcfbb6-0527-4ece-b1f3-5b48c14a93b4
13317384	SC_eritrea	Eritrea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_eritrea.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e06689e1-ea70-4e60-85ff-24f497f347c9
13316486	SC_dominicanrepublic	Dominican Republic Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_dominicanrepublic.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e426a101-e700-449d-a890-cb63982b55f2
13317388	SC_ecuador	Ecuador Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ecuador.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/46f3d7a3-c3fc-4c40-8b4d-255cfffaab20
13316490	SC_archive	Egypt Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_archive.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e0bbc9c9-aa42-4db2-af32-a5b75ce27ec7
13317392	SC_denmark	Denmark Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_denmark.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/479f94f2-5399-445b-bcb6-cbbb27dce118
13316494	SC_djibouti	Djibouti Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_djibouti.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e5433632-da4a-4a0f-a095-1f08d4509c03
13316496	SC_dominica	Dominica Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_dominica.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c1a71c39-9d76-4bd2-a700-eb6115c62750
13316498	SC_cyprus	Cyprus Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cyprus.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/ced8bac0-358f-4bc7-bfb4-f6292874fd3f
