taxonID	furtherInformationURL	parentNameUsageID	scientificName	higherClassification	EOLid
endomyxa-vampyrellida		rhizaria-endomyxa	Vampyrellida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Endomyxa	
vampyrellida-hyalodiscidae		endomyxa-vampyrellida	Hyalodiscidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Endomyxa|Vampyrellida	
e60698904ad783cd3fa134f6aad1b29f	http://www.protisten.de/gallery-ALL/1328-Hyalosphenia-elegans.html	hyalospheniformes-hyalospheniidae	Hyalosphenia elegans	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Hyalospheniformes|Hyalospheniidae	
b9760e6d0a34ca810d58f948c221f1b4	http://www.protisten.de/gallery-ALL/1330-Hyalosphenia-papilio.html	hyalospheniformes-hyalospheniidae	Hyalosphenia papilio	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Hyalospheniformes|Hyalospheniidae	
4abb3e1294b5621ebdce336692473519	http://www.protisten.de/gallery-ALL/1332-Hyalotheca-dissiliens.html	desmidiales-desmidiaceae	Hyalotheca dissiliens	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Zygnemophyceae|Zygnemophycidae|Desmidiales|Desmidiaceae	
e0d5e72b6ea8b06f22d505ecc5d75840	http://www.protisten.de/gallery-ALL/1336-Hydra-viridissima.html	aplanulata-hydridae	Hydra viridissima	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina|Anthoathecata|Aplanulata|Hydridae	
anthoathecata-aplanulata		hydroidolina-anthoathecata	Aplanulata	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina|Anthoathecata	
aplanulata-hydridae		anthoathecata-aplanulata	Hydridae	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina|Anthoathecata|Aplanulata	
3fdbd00b8ce4abff7be2794ff00a34de	http://www.protisten.de/gallery-ALL/1349-Hydrodictyon-reticulatum.html	sphaeropleales-hydrodictiaceae	Hydrodictyon reticulatum	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Hydrodictiaceae	
sphaeropleales-hydrodictiaceae		chlorophyceae-sphaeropleales	Hydrodictiaceae	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales	
f43815ee46ba7f5e95f939f5396672ab	http://www.protisten.de/gallery-ALL/1362-Hymenomonas-roseola.html	coccolithales-hymenomonadaceae	Hymenomonas roseola	Eucaryota|Haptista|Haptophyta|Prymnesiophyceae|Coccolithales|Hymenomonadaceae	
haptista-haptophyta		eucaryota-haptista	Haptophyta	Eucaryota|Haptista	
haptophyta-prymnesiophyceae		haptista-haptophyta	Prymnesiophyceae	Eucaryota|Haptista|Haptophyta	
prymnesiophyceae-coccolithales		haptophyta-prymnesiophyceae	Coccolithales	Eucaryota|Haptista|Haptophyta|Prymnesiophyceae	
coccolithales-hymenomonadaceae		prymnesiophyceae-coccolithales	Hymenomonadaceae	Eucaryota|Haptista|Haptophyta|Prymnesiophyceae|Coccolithales	
4ad03f2876741eb5a8d3f2a99e4e7c73	http://www.protisten.de/gallery-ALL/1372-Keratella-spec.html	ploima-brachionidae	Keratella	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Spiralia|Gnathifera|Syndermata|Rotifera|Ploima|Brachionidae	43037
e192af4dbbcebc20c4662e990ec6a481	http://www.protisten.de/gallery-ALL/1373-Keratella-cochlearis.html	ploima-brachionidae	Keratella cochlearis	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Spiralia|Gnathifera|Syndermata|Rotifera|Ploima|Brachionidae	
2cdb61d34ecd16d9a8833443d0d2960e	http://www.protisten.de/gallery-ALL/1377-Kirchneriella-obesa.html	sphaeropleales-selenastraceae	Kirchneriella obesa	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Selenastraceae	
44153e5d8e651626a91c26f9502b5926	http://www.protisten.de/gallery-ALL/1380-Klebsormidium-dissectum.html	klebsormidiales-klebsormidiaceae	Klebsormidium dissectum	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Klebsormidiophyceae|Klebsormidiales|Klebsormidiaceae	
streptophyta-klebsormidiophyceae		chloroplastida-streptophyta	Klebsormidiophyceae	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta	
klebsormidiophyceae-klebsormidiales		streptophyta-klebsormidiophyceae	Klebsormidiales	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Klebsormidiophyceae	
klebsormidiales-klebsormidiaceae		klebsormidiophyceae-klebsormidiales	Klebsormidiaceae	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Klebsormidiophyceae|Klebsormidiales	
9bb2d8790bd046188b86bf7da778961b	http://www.protisten.de/gallery-ALL/1384-Lacunastrum-gracillimum.html	sphaeropleales-hydrodictiaceae	Lacunastrum gracillimum	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Hydrodictiaceae	
4d2c8906264bf2e0c9773dc535fde83d	http://www.protisten.de/gallery-ALL/1385-Laomedea-flexuosa.html	leptothecata-campanulariidae	Laomedea flexuosa	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina|Leptothecata|Campanulariidae	
hydroidolina-leptothecata		hydrozoa-hydroidolina	Leptothecata	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina	
leptothecata-campanulariidae		hydroidolina-leptothecata	Campanulariidae	Eucaryota|Opisthokonta|Metazoa|Cnidaria|Hydrozoa|Hydroidolina|Leptothecata	
3df8fe1d33a85d6683e1fcbc7d40ca38	http://www.protisten.de/gallery-ALL/1388-Lagenoeca-ovata.html	craspedida-salpingoecidae	Lagenoeca ovata	Eucaryota|Opisthokonta|Choanoflagellata|Craspedida|Salpingoecidae	
556cc307acdede9afa926db48f98fc2e	http://www.protisten.de/gallery-ALL/1389-Lagerheimia-subsalsa.html	oocystaceae-oocystoideae	Lagerheimia subsalsa	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Trebouxiophyceae|Chlorellales|Oocystaceae|Oocystoideae	
4ab992fb6884a96be8e88b2ab6dee78f	http://www.protisten.de/gallery-ALL/1390-Lagynion-macrotrachelum.html	hibberdiales-stylococcaceae	Lagynion macrotrachelum	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Chrysophyceae|Hibberdiales|Stylococcaceae	
502454bb4f03eeed4444998df8710e3b	http://www.protisten.de/gallery-ALL/1393-Lecythium-spec.html	tectofilosida-chlamydophryidae	Lecythium	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Thecofilosea|Tectofilosida|Chlamydophryidae	
eee85c8b7d7b2e5c57309db201e764d5	http://www.protisten.de/gallery-ALL/1394-Lembadion-lucens.html	peniculiada-lembadionidae	Lembadion lucens	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peniculiada|Lembadionidae	
oligohymenophorea-peniculiada		intramacronucleata-oligohymenophorea	Peniculiada	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea	
peniculiada-lembadionidae		oligohymenophorea-peniculiada	Lembadionidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peniculiada	
54c3cadc056e9561abdf9922bcb867bb	http://www.protisten.de/gallery-ALL/1399-Lemmermannia-komarekii.html	chlorophyta-trebouxiophyceae	Lemmermannia komarekii	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Trebouxiophyceae	
