Label	URI
Mokodongan, D.F.	http://eol.org/schema/terms/Mokodongan_DF
Sulfani Udin, J.	http://eol.org/schema/terms/Sulfani_Udin_J
Aguilera, M.	http://eol.org/schema/terms/Aguilera_M
Mallon, D.	http://eol.org/schema/terms/Mallon_D
Johnston, C.	http://eol.org/schema/terms/Johnston_C
Smith, A.T.	http://eol.org/schema/terms/Smith_AT
Lee, B.	http://eol.org/schema/terms/Lee_B
Koprowski, J.	http://eol.org/schema/terms/Koprowski_J
Paulson, D.R.	http://eol.org/schema/terms/Paulson_DR
Abbott, J.	http://eol.org/schema/terms/Abbott_J
Sahlén, G.	http://eol.org/schema/terms/Sahlen_G
von Ellenrieder, N.	http://eol.org/schema/terms/von_Ellenrieder_N
Paulson, D.	http://eol.org/schema/terms/Paulson_D
Tingga, R.C.T.	http://eol.org/schema/terms/Tingga_RCT
Struebig, M.	http://eol.org/schema/terms/Struebig_M
Taylor, P.	http://eol.org/schema/terms/Taylor_P
Birss, C.	http://eol.org/schema/terms/Birss_C
Coetzee, N.	http://eol.org/schema/terms/Coetzee_N
Agwanda, B.	http://eol.org/schema/terms/Agwanda_B
Cumberlidge, N.	http://eol.org/schema/terms/Cumberlidge_N
Daniels, S.	http://eol.org/schema/terms/Daniels_S
Stuart, S.N.	http://eol.org/schema/terms/Stuart_SN
Reid, J.W.	http://eol.org/schema/terms/Reid_JW
Bates, M.F.	http://eol.org/schema/terms/Bates_MF
Bauer, A.M.	http://eol.org/schema/terms/Bauer_AM
Makhubo, B.	http://eol.org/schema/terms/Makhubo_B
Conradie, W.	http://eol.org/schema/terms/Conradie_W
Maritz, B.	http://eol.org/schema/terms/Maritz_B
Weeber, J.	http://eol.org/schema/terms/Weeber_J
Van Damme, D.	http://eol.org/schema/terms/Van_Damme_D
Randrianasolo, H.	http://eol.org/schema/terms/Randrianasolo_H
Rasamy, J.	http://eol.org/schema/terms/Rasamy_J
Gasgoigne, A.	http://eol.org/schema/terms/Gasgoigne_A
Sparks, J.S.	http://eol.org/schema/terms/Sparks_JS
Raminosoa, N.	http://eol.org/schema/terms/Raminosoa_N
Rasoloariniaina, R	http://eol.org/schema/terms/Rasoloariniaina_R
Ravelomanana, T.	http://eol.org/schema/terms/Ravelomanana_T
Velosoa, J.	http://eol.org/schema/terms/Velosoa_J
Emmons, L.	http://eol.org/schema/terms/Emmons_L
van Swaay, C.	http://eol.org/schema/terms/van_Swaay_C
Wynhoff, I.	http://eol.org/schema/terms/Wynhoff_I
Wiemers, M.	http://eol.org/schema/terms/Wiemers_M
Katbeh-Bader, A.	http://eol.org/schema/terms/Katbeh-Bader_A
Power, A.	http://eol.org/schema/terms/Power_A
Benyamini, D.	http://eol.org/schema/terms/Benyamini_D
Tzirkalli, E.	http://eol.org/schema/terms/Tzirkalli_E
Balletto, E.	http://eol.org/schema/terms/Balletto_E
Monteiro, E.	http://eol.org/schema/terms/Monteiro_E
Karaçetin, E.	http://eol.org/schema/terms/Karaçetin_E
Franeta, F.	http://eol.org/schema/terms/Franeta_F
Pe'er, G.	http://eol.org/schema/terms/Pe'er_G
Welch, H.	http://eol.org/schema/terms/Welch_H
Thompson, K.	http://eol.org/schema/terms/Thompson_K
Pamperis, L.	http://eol.org/schema/terms/Pamperis_L
Dapporto, L.	http://eol.org/schema/terms/Dapporto_L
Šašić, M.	http://eol.org/schema/terms/Sasic_M
López Munguira, M.	http://eol.org/schema/terms/López_Munguira_M
Micevski, N.	http://eol.org/schema/terms/Micevski_N
Dupont, P.	http://eol.org/schema/terms/Dupont_P
Garcia-Pereira, P.	http://eol.org/schema/terms/Garcia-Pereira_P
Moulai, R.	http://eol.org/schema/terms/Moulai_R
Caruana, R.	http://eol.org/schema/terms/Caruana_R
Verovnik, R.	http://eol.org/schema/terms/Verovnik_R
Bonelli, S.	http://eol.org/schema/terms/Bonelli_S
Beshkov, S.	http://eol.org/schema/terms/Beshkov_S
Black, S.	http://eol.org/schema/terms/Black_S
Swaisgood, R.	http://eol.org/schema/terms/Swaisgood_R
Wang, D.	http://eol.org/schema/terms/Wang_D
Wei, F.	http://eol.org/schema/terms/Wei_F
Garshelis, D.	http://eol.org/schema/terms/Garshelis_D
Glatston, A.	http://eol.org/schema/terms/Glatston_A
Sherpa, A.	http://eol.org/schema/terms/Sherpa_A
Leus, K.	http://eol.org/schema/terms/Leus_K
Dunnum, J.	http://eol.org/schema/terms/Dunnum_J
Vivar, E.	http://eol.org/schema/terms/Vivar_E
Vargas, J.	http://eol.org/schema/terms/Vargas_J
Zeballos, H.	http://eol.org/schema/terms/Zeballos_H
Patterson, B.	http://eol.org/schema/terms/Patterson_B
Pardinas, U.	http://eol.org/schema/terms/Pardinas_U
D'elia, G.	http://eol.org/schema/terms/D'Elia_G
Jayat, J.	http://eol.org/schema/terms/Jayat_J
Christoff, A.	http://eol.org/schema/terms/Christoff_A
Geise, L.	http://eol.org/schema/terms/Geise_L
Fagundes, V.	http://eol.org/schema/terms/Fagundes_V
Pacheco, V.	http://eol.org/schema/terms/Pacheco_V
Teta, P.	http://eol.org/schema/terms/Teta_P
Gonzalez, E.	http://eol.org/schema/terms/Gonzalez_E
Alvarado Serrano, D.	http://eol.org/schema/terms/Alvarado_Serrano_D
Marinho-Filho, J.	http://eol.org/schema/terms/Marinho-Filho_J
Patton, J.	http://eol.org/schema/terms/Patton_J
Catzeflis, F.	http://eol.org/schema/terms/Catzeflis_F
Weksler, M.	http://eol.org/schema/terms/Weksler_M
Percequillo, A.	http://eol.org/schema/terms/Percequillo_A
D'Elia, G.	http://eol.org/schema/terms/D'Elia_G
Naylor, L.	http://eol.org/schema/terms/Naylor_L
Gómez-Laverde, M.	http://eol.org/schema/terms/Gomez-Laverde_M
Aguillera, M.	http://eol.org/schema/terms/Aguillera_M
Rivas, B.	http://eol.org/schema/terms/Rivas_B
Coetzer, A.J.	http://eol.org/schema/terms/Coetzer_AJ
Kirkman, S.	http://eol.org/schema/terms/Kirkman_S
Raimondo, D.	http://eol.org/schema/terms/Raimondo_D
Oberprieler, R.G.	http://eol.org/schema/terms/Oberprieler_RG
Böhm, M.	http://eol.org/schema/terms/Bohm_M
Cummings, K.	http://eol.org/schema/terms/Cummings_K
Perez, K.	http://eol.org/schema/terms/Perez_K
Bohm, M.	http://eol.org/schema/terms/Bohm_M
Collen, B.	http://eol.org/schema/terms/Collen_B
Woolnough, D.	http://eol.org/schema/terms/Woolnough_D
Lopes-Lima , M.	http://eol.org/schema/terms/Lopes-Lima__M
Ekmekçi, F.	http://eol.org/schema/terms/Ekmekçi_F
Özuluğ, M.	http://eol.org/schema/terms/Özuluğ_M
Bianco, G.	http://eol.org/schema/terms/Bianco_G
Cooke, R.	http://eol.org/schema/terms/Cooke_R
Batsaikhan, N.	http://eol.org/schema/terms/Batsaikhan_N
Avirmed, D.	http://eol.org/schema/terms/Avirmed_D
Shar, S.	http://eol.org/schema/terms/Shar_S
Dando, T.	http://eol.org/schema/terms/Dando_T
Molur, S.	http://eol.org/schema/terms/Molur_S
Tsytsulina, K.	http://eol.org/schema/terms/Tsytsulina_K
Formozov, N.	http://eol.org/schema/terms/Formozov_N
Zagorodnyuk, I.	http://eol.org/schema/terms/Zagorodnyuk_I
Sheftel, B.	http://eol.org/schema/terms/Sheftel_B
Tinnin, D.	http://eol.org/schema/terms/Tinnin_D
Sukhchuluun, G.	http://eol.org/schema/terms/Sukhchuluun_G
Lkhagvasuren, D.	http://eol.org/schema/terms/Lkhagvasuren_D
Maisels, F.	http://eol.org/schema/terms/Maisels_F
Oates, J.F.	http://eol.org/schema/terms/Oates_JF
Hart, J.	http://eol.org/schema/terms/Hart_J
Williamson, E.A.	http://eol.org/schema/terms/Williamson_EA
Jiang, H.-X.	http://eol.org/schema/terms/Jiang_H-X
Wu, X.	http://eol.org/schema/terms/Wu_X
Manolis, C.	http://eol.org/schema/terms/Manolis_C
Isberg, S.	http://eol.org/schema/terms/Isberg_S
Bezandry, N.	http://eol.org/schema/terms/Bezandry_N
Mittermeier, J.	http://eol.org/schema/terms/Mittermeier_J
Réné De Roland, L.A.	http://eol.org/schema/terms/Réné_De_Roland_LA
Reuter, K.E.	http://eol.org/schema/terms/Reuter_KE
Witte, F.	http://eol.org/schema/terms/Witte_F
de Zeeuw, M.P.	http://eol.org/schema/terms/de_Zeeuw_MP
Brooks, E.	http://eol.org/schema/terms/Brooks_E
Darwall, W.R.T.	http://eol.org/schema/terms/Darwall_WRT
Gómez Moliner, B.J.	http://eol.org/schema/terms/Gómez_Moliner_BJ
Koeck, M.	http://eol.org/schema/terms/Koeck_M
Domínguez, O.	http://eol.org/schema/terms/Domínguez_O
Rivas, M.	http://eol.org/schema/terms/Rivas_M
Arroyave, J.	http://eol.org/schema/terms/Arroyave_J
Contreras MacBeath, T.	http://eol.org/schema/terms/Contreras-MacBeath_T
Pringle, E.L.	http://eol.org/schema/terms/Pringle_EL
Selb, H.E.T.	http://eol.org/schema/terms/Selb_HET
Rautenbach, F.	http://eol.org/schema/terms/Rautenbach_F
Henning, G.A.	http://eol.org/schema/terms/Henning_GA
Angerbjörn, A.	http://eol.org/schema/terms/Angerbjörn_A
Tannerfeldt, M.	http://eol.org/schema/terms/Tannerfeldt_M
Sillero-Zubiri, C.	http://eol.org/schema/terms/Sillero-Zubiri_C
Steffek, J.	http://eol.org/schema/terms/Steffek_J
Sammons, S.	http://eol.org/schema/terms/Sammons_S
Young, S.	http://eol.org/schema/terms/Young_S
Carlson, J.	http://eol.org/schema/terms/Carlson_J
Ralph, G.	http://eol.org/schema/terms/Ralph_G
