Label	URI
D. Newell	http://eol.org/schema/terms/Amphibiaweb_D_Newell
D. Roberts	http://eol.org/schema/terms/Amphibiaweb_D_Roberts
Danielle Myers	http://eol.org/schema/terms/Amphibiaweb_Danielle_Myers
Darren Ayoub	http://eol.org/schema/terms/Amphibiaweb_Darren_Ayoub
David B. Wake	http://eol.org/schema/terms/Amphibiaweb_David_B_Wake
David B.Wake	http://eol.org/schema/terms/Amphibiaweb_David_B_Wake
David Burkart	http://eol.org/schema/terms/Amphibiaweb_David_Burkart
David C. Blackburn	http://eol.org/schema/terms/Amphibiaweb_David_C_Blackburn
David Chen	http://eol.org/schema/terms/Amphibiaweb_David_Chen
David Wake	http://eol.org/schema/terms/Amphibiaweb_David_Wake
David Wong	http://eol.org/schema/terms/Amphibiaweb_David_Wong
Deborah Lee	http://eol.org/schema/terms/Amphibiaweb_Deborah_Lee
Dennis Lee	http://eol.org/schema/terms/Amphibiaweb_Dennis_Lee
Devon Feaster	http://eol.org/schema/terms/Amphibiaweb_Devon_Feaster
Diana Kimbrough	http://eol.org/schema/terms/Amphibiaweb_Diana_Kimbrough
Diana Lakeland	http://eol.org/schema/terms/Amphibiaweb_Diana_Lakeland
Diana Lin	http://eol.org/schema/terms/Amphibiaweb_Diana_Lin
Diogo B. Provete	http://eol.org/schema/terms/Amphibiaweb_Diogo_B_Provete
Diogo Borges Provete	http://eol.org/schema/terms/Amphibiaweb_Diogo_Borges_Provete
Domingos J. Rodrigues	http://eol.org/schema/terms/Amphibiaweb_Domingos_J_Rodrigues
Duncan Parks	http://eol.org/schema/terms/Amphibiaweb_Duncan_Parks
Dustin Guericke	http://eol.org/schema/terms/Amphibiaweb_Dustin_Guericke
E. Meyer	http://eol.org/schema/terms/Amphibiaweb_E_Meyer
E. Meyers	http://eol.org/schema/terms/Amphibiaweb_E_Meyers
Ed Meyer	http://eol.org/schema/terms/Amphibiaweb_E_Meyer
Elena Hausser	http://eol.org/schema/terms/Amphibiaweb_Elena_Hausser
Eli Greenbaum	http://eol.org/schema/terms/Amphibiaweb_Eli_Greenbaum
Elizabeth Brizuela	http://eol.org/schema/terms/Amphibiaweb_Elizabeth_Brizuela
Elizabeth Carroll	http://eol.org/schema/terms/Amphibiaweb_Elizabeth_Carroll
Elizabeth Malloy	http://eol.org/schema/terms/Amphibiaweb_Elizabeth_Malloy
Elizabeth McAlpine-Bellis	http://eol.org/schema/terms/Amphibiaweb_Elizabeth_McAlpine-Bellis
Elizabeth Reisman	http://eol.org/schema/terms/Amphibiaweb_Elizabeth_Reisman
Elli Son	http://eol.org/schema/terms/Amphibiaweb_Elli_Son
Elsa Corona	http://eol.org/schema/terms/Amphibiaweb_Elsa_Corona
Emily Kaminski	http://eol.org/schema/terms/Amphibiaweb_Emily_Kaminski
Emily Kotcher	http://eol.org/schema/terms/Amphibiaweb_Emily_Kotcher
Emily Lauren Wong	http://eol.org/schema/terms/Amphibiaweb_Emily_Lauren_Wong
Emily Moura	http://eol.org/schema/terms/Amphibiaweb_Emily_Moura
Emily Payne	http://eol.org/schema/terms/Amphibiaweb_Emily_Payne
Emma Cox	http://eol.org/schema/terms/Amphibiaweb_Emma_Cox
Eric Truong	http://eol.org/schema/terms/Amphibiaweb_Eric_Truong
Erica Garcia	http://eol.org/schema/terms/Amphibiaweb_Erica_Garcia
Erica J. Ely	http://eol.org/schema/terms/Amphibiaweb_Erica_J_Ely
Erik A. Sathe	http://eol.org/schema/terms/Amphibiaweb_Erik_A_Sathe
Erika Dihmes	http://eol.org/schema/terms/Amphibiaweb_Erika_Dihmes
Ernesto Recuero	http://eol.org/schema/terms/Amphibiaweb_Ernesto_Recuero
Esmerilda Rodriguez	http://eol.org/schema/terms/Amphibiaweb_Esmerilda_Rodriguez
Ethan Maxwell Grossman	http://eol.org/schema/terms/Amphibiaweb_Ethan_Maxwell_Grossman
Eun Sun Kim	http://eol.org/schema/terms/Amphibiaweb_Eun_Sun_Kim
F. Andreone	http://eol.org/schema/terms/Amphibiaweb_F_Andreone
F. Lemckert	http://eol.org/schema/terms/Amphibiaweb_F_Lemckert
F.Glaw	http://eol.org/schema/terms/Amphibiaweb_FGlaw
Fabiola Galvan Torres	http://eol.org/schema/terms/Amphibiaweb_Fabiola_Galvan_Torres
Faith Yang	http://eol.org/schema/terms/Amphibiaweb_Faith_Yang
Franco Andreone	http://eol.org/schema/terms/Amphibiaweb_Franco_Andreone
Frank Glaw	http://eol.org/schema/terms/Amphibiaweb_Frank_Glaw
Franziska Sandmeier	http://eol.org/schema/terms/Amphibiaweb_Franziska_Sandmeier
G. Gillespie	http://eol.org/schema/terms/Amphibiaweb_G_Gillespie
G. Hollis	http://eol.org/schema/terms/Amphibiaweb_G_Hollis
Galena Robertson	http://eol.org/schema/terms/Amphibiaweb_Galena_Robertson
Garrett Leidy	http://eol.org/schema/terms/Amphibiaweb_Garrett_Leidy
Gary Fellers	http://eol.org/schema/terms/Amphibiaweb_Gary_Fellers
Gary Tsai	http://eol.org/schema/terms/Amphibiaweb_Gary_Tsai
Gavin Lee	http://eol.org/schema/terms/Amphibiaweb_Gavin_Lee
Gordon Lau	http://eol.org/schema/terms/Amphibiaweb_Gordon_Lau
Grace Dougherty	http://eol.org/schema/terms/Amphibiaweb_Grace_Dougherty
Greg LaMonte	http://eol.org/schema/terms/Amphibiaweb_Greg_LaMonte
H. G. Cogger	http://eol.org/schema/terms/Amphibiaweb_H_G_Cogger
H. Hines	http://eol.org/schema/terms/Amphibiaweb_H_Hines
Haley Martin	http://eol.org/schema/terms/Amphibiaweb_Haley_Martin
Haley Stapleton	http://eol.org/schema/terms/Amphibiaweb_Haley_Stapleton
Hanika Cook	http://eol.org/schema/terms/Amphibiaweb_Hanika_Cook
Hanlu Chen	http://eol.org/schema/terms/Amphibiaweb_Hanlu_Chen
Hannan Mir	http://eol.org/schema/terms/Amphibiaweb_Hannan_Mir
Harry Hines	http://eol.org/schema/terms/Amphibiaweb_Harry_Hines
Heather Baker	http://eol.org/schema/terms/Amphibiaweb_Heather_Baker
Heather Foreman	http://eol.org/schema/terms/Amphibiaweb_Heather_Foreman
Henry Zhu	http://eol.org/schema/terms/Amphibiaweb_Henry_Zhu
Indraneil Das	http://eol.org/schema/terms/Amphibiaweb_Indraneil_Das
Initial authorship by A. Beti	http://eol.org/schema/terms/Amphibiaweb_Initial_authorship_by_A_Beti
Iris Starnberger	http://eol.org/schema/terms/Amphibiaweb_Iris_Starnberger
Isaac W. Krone	http://eol.org/schema/terms/Amphibiaweb_Isaac_W_Krone
Isabella Fenstermaker	http://eol.org/schema/terms/Amphibiaweb_Isabella_Fenstermaker
Itzue W. Caviedes-Solis	http://eol.org/schema/terms/Amphibiaweb_Itzue_W_Caviedes-Solis
J-M Hero	http://eol.org/schema/terms/Amphibiaweb_J-M_Hero
J-M. Hero	http://eol.org/schema/terms/Amphibiaweb_J-M_Hero
J. Bosch	http://eol.org/schema/terms/Amphibiaweb_J_Bosch
J. Clarke	http://eol.org/schema/terms/Amphibiaweb_J_Clarke
J. D. Roberts	http://eol.org/schema/terms/Amphibiaweb_J_D_Roberts
J.-M. Hero	http://eol.org/schema/terms/Amphibiaweb_J-M_Hero
J.D. Roberts	http://eol.org/schema/terms/Amphibiaweb_J_D_Roberts
J.E. Randrianirina	http://eol.org/schema/terms/Amphibiaweb_JE_Randrianirina
