Page ID	eol_pk	Value URI	Label
31998011	R315-PK18771766	http://www.geonames.org/953987	REP
31998011	R407-PK11387719	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
4529054	R288-PK15393930	http://www.geonames.org/1814991	PRM and REP
42401199	R315-PK18780431	http://www.geonames.org/953987	REP
42401199	R407-PK11401890	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
4530204	R149-PK6115678	http://www.geonames.org/357994	PRM and REP
924438	R181-PK15187751	http://www.geonames.org/2233387	PRM and REP
1038690	R96-PK42579775	http://eol.org/schema/terms/Central_Congolian_lowland_forests	REP
1038690	R96-PK42579776	http://eol.org/schema/terms/Eastern_Congolian_swamp_forests	REP
1038690	R156-PK15442386	http://www.geonames.org/3351879	REP
289515	R96-PK42524563	http://eol.org/schema/terms/East_African_montane_forests	REP
289515	R231-PK17511182	http://www.geonames.org/192950	REP
1038681	R96-PK42637095	http://eol.org/schema/terms/Deccan_thorn_scrub_forests	REP
1038681	R96-PK42637097	http://eol.org/schema/terms/Indus_River_Delta-Arabian_Sea_mangroves	REP
1038681	R96-PK42637078	http://eol.org/schema/terms/Lower_Gangetic_Plains_moist_deciduous_forests	REP
4443494	R265-PK18052677	http://www.geonames.org/2542007	REP
4443494	R406-PK11157897	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
1038687	R318-PK18801295	http://www.geonames.org/1227603	REP
1038687	R522-PK25043051	http://www.geonames.org/1269750	REP
924439	R318-PK18800821	http://www.geonames.org/1227603	REP
311540	R303-PK18976757	http://www.geonames.org/2245662	REP
311540	R507-PK22062232	http://www.geonames.org/2287781	REP
311540	R211-PK16390656	http://www.geonames.org/2300660	REP
4443649	R265-PK18052809	http://www.geonames.org/2542007	REP
4443649	R406-PK11157565	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
42400846	R231-PK17513531	http://www.geonames.org/192950	PRM and REP
999179	R96-PK42635084	http://eol.org/schema/terms/Masai_xeric_grasslands_and_shrublands	REP
999179	R96-PK42635082	http://eol.org/schema/terms/Northern_Acacia-Commiphora_bushlands_and_thickets	REP
999179	R96-PK42635083	http://eol.org/schema/terms/Somali_Acacia-Commiphora_bushlands_and_thickets	REP
999179	R231-PK17509851	http://www.geonames.org/192950	REP
999179	R183-PK16050435	http://www.geonames.org/337996	REP
311578	R96-PK42621135	http://eol.org/schema/terms/Angolan_Mopane_woodlands	REP
311578	R96-PK42621136	http://eol.org/schema/terms/Kaokoveld_desert	REP
311578	R96-PK42621137	http://eol.org/schema/terms/Namibian_savanna_woodlands	REP
128584	R96-PK42596180	http://eol.org/schema/terms/East_Sudanian_savanna	REP
128584	R96-PK42596181	http://eol.org/schema/terms/Northern_Congolian_forest-savanna_mosaic	REP
128584	R96-PK42596182	http://eol.org/schema/terms/Victoria_Basin_forest-savanna_mosaic	REP
128584	R197-PK15836668	http://www.geonames.org/203312	REP
128584	R339-PK19127124	http://www.geonames.org/226074	REP
1053888	R175-PK7315938	http://www.geonames.org/3469034	REP
1053888	R160-PK15490531	http://www.geonames.org/3865483	REP
4443813	R288-PK15397331	http://www.geonames.org/1814991	PRM and REP
4443800	R101-PK14484100	http://www.marineregions.org/gazetteer.php?p=details&id=1908	REP
4443800	R406-PK11142958	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
4443800	R344-PK19347737	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
44168786	R101-PK14494449	http://www.marineregions.org/gazetteer.php?p=details&id=1908	REP
44168786	R253-PK17871433	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	REP
31998076	R315-PK18771468	http://www.geonames.org/953987	REP
31998076	R407-PK11394052	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
4444397	R344-PK19358975	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444373	R400-PK16187525	http://www.geonames.org/3017382	REP
4444373	R226-PK16706892	http://www.geonames.org/3175395	REP
4444373	R212-PK16419204	http://www.geonames.org/390903	REP
4444373	R209-PK16267952	http://www.geonames.org/614540	REP
4444373	R315-PK18766888	http://www.geonames.org/953987	REP
4444375	R224-PK16654852	http://www.geonames.org/294640	PRM and REP
4444374	R288-PK15392336	http://www.geonames.org/1814991	REP
4444374	R400-PK16180661	http://www.geonames.org/3017382	REP
4444374	R226-PK16699967	http://www.geonames.org/3175395	REP
4444374	R212-PK16420766	http://www.geonames.org/390903	REP
4444374	R296-PK18587630	http://www.geonames.org/798549	REP
4444376	R288-PK15394525	http://www.geonames.org/1814991	PRM and REP
24187576	R315-PK18763287	http://www.geonames.org/953987	PRM and REP
4444371	R231-PK17512517	http://www.geonames.org/192950	REP
4444371	R315-PK18772812	http://www.geonames.org/953987	REP
1053886	R175-PK7330324	http://www.geonames.org/3469034	REP
1053886	R160-PK15475313	http://www.geonames.org/3865483	REP
7241720	R247-PK17650983	http://www.geonames.org/1733045	REP
7241720	R220-PK16579137	http://www.marineregions.org/gazetteer.php?p=details&id=indonesia	REP
4444411	R210-PK16370317	http://www.geonames.org/2921044	REP
4444411	R400-PK16189918	http://www.geonames.org/3017382	REP
4444405	R344-PK19367348	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444403	R253-PK17899921	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	REP
4444403	R344-PK19334560	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4444406	R207-PK15280993	http://www.geonames.org/6251999	REP
4444406	R344-PK19366803	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4444404	R344-PK19341983	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444407	R336-PK19108409	http://www.geonames.org/298795	REP
4444407	R400-PK16183726	http://www.geonames.org/3017382	REP
4444407	R212-PK16421459	http://www.geonames.org/390903	REP
4444407	R291-PK18519788	http://www.geonames.org/798544	REP
4444409	R302-PK18971125	http://www.geonames.org/102358	REP
4444409	R161-PK15636745	http://www.geonames.org/2782113	REP
4444409	R400-PK16202468	http://www.geonames.org/3017382	REP
4443696	R265-PK18051989	http://www.geonames.org/2542007	REP
4443696	R406-PK11166147	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
4444357	R230-PK17492979	http://www.geonames.org/1522867	PRM and REP
4444358	R230-PK17493035	http://www.geonames.org/1522867	REP
4444358	R297-PK18608769	http://www.geonames.org/2017370	REP
328604	R105-PK13834016	https://www.wikidata.org/entity/Q25322	REP
4444095	R344-PK19366979	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444094	R344-PK19346633	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
311552	R96-PK42548353	http://eol.org/schema/terms/Borneo_lowland_rain_forests	REP
311552	R96-PK42548354	http://eol.org/schema/terms/Borneo_montane_rain_forests	REP
311552	R96-PK42548355	http://eol.org/schema/terms/Borneo_peat_swamp_forests	REP
311552	R96-PK42548357	http://eol.org/schema/terms/Kinabalu_montane_alpine_meadows	REP
311552	R96-PK42548356	http://eol.org/schema/terms/Sundaland_heath_forests	REP
4444389	R344-PK19329253	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444390	R344-PK19348738	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444399	R400-PK16201690	http://www.geonames.org/3017382	PRM and REP
4444320	R344-PK19347742	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4443395	R207-PK15262784	http://www.geonames.org/6251999	REP
4443395	R406-PK11158215	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
4443395	R407-PK11396484	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
4443395	R253-PK17881140	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	REP
4443395	R344-PK19328631	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4443397	R175-PK7295476	http://www.geonames.org/3469034	REP
4443397	R349-PK10217119	http://www.geonames.org/3625428	REP
4443397	R160-PK15492429	http://www.geonames.org/3865483	REP
4443397	R173-PK15762561	http://www.geonames.org/3923057	REP
312856	R96-PK42756661	http://eol.org/schema/terms/Deccan_thorn_scrub_forests	REP
312856	R96-PK42756664	http://eol.org/schema/terms/Indus_River_Delta-Arabian_Sea_mangroves	REP
312856	R96-PK42756662	http://eol.org/schema/terms/Northwestern_thorn_scrub_forests	REP
